Paper_No,Molecular_Markers,Paper_ID,ES_ID,Journal,Pub_Year,Pop_region,Year_sampled,Duration_sampling,IUCN_Category,Living_Type,Sampling_size,Aquatic_Family_Refined,Genus,Population_ID,Water_type,IUCN_Code,IUCN_value,IUCN_clade,clade2,Latitude,Latitude_Clade,Longitude,He,MDR,ISO,MTWQ,Elevation,slope,Evaporation,AMT,MTDQ,PWM,PDM,AMP,Channel,Discharge,anthrome_clade,iso_clade2,BOD,Fecal,TDS,TP,TNFux,WT,TN_nitrite1
P31_6,AFLP,Schierenbeck_&_Phipps,6,Genetica,2010,North_America,2008,16,Rare,Sub_Floating,12,Campanulaceae,Howellia,Howellia_aquatilis,Freshwater,1.4,104,Forest-Temperate,Forest,39.894,North_temper,-122.9995,0.3903,15.42500019,0.510761604,5.400000095,1042,89.93346405,0.757499993,10.86250019,18.03333282,223,3,102.5833333,5552.738688,1.853278587,Woodlands,clade40,0.020234072,34.54452213,108.3883483,587.3687744,6.094727993,8.497229656,0.201145336
P31_7,AFLP,Schierenbeck_&_Phipps,7,Genetica,2010,North_America,2008,16,Rare,Sub_Floating,3,Campanulaceae,Howellia,Howellia_aquatilis,Freshwater,1.4,104,Forest-Temperate,Forest,47.104,North_temper,-122.493,0.2605,10.14166641,0.41394558,4.75,106,89.91207123,0.960000003,10.4375,17.04999924,179,24,97.75,2460.235748,1.582071771,Urban,clade40,149.9664764,113627.5111,7255.471761,582.4049683,10.74086761,11.20820284,0.75262183
P31_8,AFLP,Schierenbeck_&_Phipps,8,Genetica,2010,North_America,2008,16,Rare,Sub_Floating,21,Campanulaceae,Howellia,Howellia_aquatilis,Freshwater,1.4,104,Forest-Temperate,Forest,47.6656,North_temper,-113.806,0.372,11.95833397,0.341666679,-3.333333254,1049,89.89722443,0.617499995,5.929166794,15.61666679,67,35,51.33333333,37343.74951,4.495071878,Woodlands,clade20,1.32296818,1006.945578,31.62392457,732.453186,2.440624475,5.9933997,0.246235043
P31_9,AFLP,Schierenbeck_&_Phipps,9,Genetica,2010,North_America,2008,16,Rare,Sub_Floating,3,Campanulaceae,Howellia,Howellia_aquatilis,Freshwater,3.4,304,Shrubland-Temperate,Shrubland,46.9127,North_temper,-116.7228,0.069,13.21666622,0.381984596,-0.683333397,798,89.93157196,0.745833335,7.816666603,16.85000038,89,25,59.08333333,26407.97795,1.586852402,Woodlands,clade20,2.267618552,649.701767,38.03047005,602.4615479,5.305839062,9.98466152,0.429609448
P32_1,AFLP,Wang_et_al,1,Heredity,2020,Eastern_Asia,2016,8,Common,Emergent,15,Araliaceae,Hydrocotyle,Hydrocotyle_vulgaris,Freshwater,14.3,1403,Plantations,Artificial,27.975,North_temper,120.761,0.0016,6.666666508,0.250626564,26.38333321,9,89.94704437,1.733333344,17.69166565,10.94999981,214,44,124.5833333,2172259.1,11.47746153,Urban,clade20,53.92911277,5468.006973,7957.777592,598.3468018,28.79123878,18.5183531,1.015431881
P32_2,AFLP,Wang_et_al,2,Heredity,2020,Eastern_Asia,2016,8,Common,Emergent,10,Araliaceae,Hydrocotyle,Hydrocotyle_vulgaris,Freshwater,1.6,106,Subtropical/tropical moist lowland,Forest,28.386,North_temper,119.819,0.0022,8.975000381,0.2867412,21.75,60,89.81308746,1.694999983,18.07916641,9.883333206,247,39,121.8333333,3559755.771,279.1700096,Villages,clade20,0.946968305,541.2906634,44.82194201,547.5116577,17.48399162,17.05434354,0.894943595
P32_3,AFLP,Wang_et_al,3,Heredity,2020,Eastern_Asia,2016,8,Common,Emergent,15,Araliaceae,Hydrocotyle,Hydrocotyle_vulgaris,Freshwater,1.6,106,Subtropical/tropical moist lowland,Forest,28.673,North_temper,121.427,0.0012,6.341666698,0.232295475,26.38333321,17,89.8711853,1.681666682,17.27916718,10.11666679,210,43,121.25,21955122.83,224.0071818,Urban,clade20,2.342456212,699.4574572,161.4757309,570.9402466,23.80286217,17.97949914,1.089404583
P32_4,AFLP,Wang_et_al,4,Heredity,2020,Eastern_Asia,2016,8,Common,Emergent,9,Araliaceae,Hydrocotyle,Hydrocotyle_vulgaris,Freshwater,14.1,1401,Arable Land,Artificial,29.559,North_temper,106.628,0.0017,6.108333111,0.225399742,26.29999924,476,89.68347168,1.639166658,17.30416679,7.833333015,184,20,95.5,82751420.5,8020.225962,Urban,clade20,2.472597564,542.8066877,348.3654874,565.5402222,45.01115036,16.77505934,1.356085777
P32_5,AFLP,Wang_et_al,5,Heredity,2020,Eastern_Asia,2016,8,Common,Emergent,15,Araliaceae,Hydrocotyle,Hydrocotyle_vulgaris,Freshwater,14.5,1405,Urban Areas,Artificial,29.897,North_temper,121.559,0.001,7.625,0.249999981,27.20000076,6,89.59876251,1.654166659,17.1875,9.116666794,177,41,102.75,5575639.063,98.96958446,Urban,clade20,6.145571093,2086.976034,885.1771342,687.7474365,32.53429031,16.48182356,1.190768361
P32_6,AFLP,Wang_et_al,6,Heredity,2020,Eastern_Asia,2016,8,Common,Emergent,13,Araliaceae,Hydrocotyle,Hydrocotyle_vulgaris,Freshwater,14.3,1403,Plantations,Artificial,30.313,North_temper,120.39,0.0016,7.758333206,0.247080689,24.53333282,9,89.90641785,1.610000004,16.57916641,7.900000095,184,42,106,85243011.33,1590.985484,Rangelands,clade20,0.843902533,129.1916755,137.8182716,849.2060547,45.38243103,15.03122636,2.102052689
P32_7,AFLP,Wang_et_al,7,Heredity,2020,Eastern_Asia,2016,8,Common,Emergent,10,Araliaceae,Hydrocotyle,Hydrocotyle_vulgaris,Freshwater,5.7,507,,Wetlands,30.549,North_temper,114.419,0.0018,7.766666889,0.24270834,25.58333397,26,89.19701385,1.585833351,16.95000076,7.566666603,207,28,104.5,56733.84898,1.545792272,Villages,clade20,132.4658635,26214.75077,7842.802335,820.7849121,43.31103516,17.72417374,1.094837546
P34_1,ISSR,Wang_et_al,1,Aquatic_Botany,2010,Eastern_Asia,2007,17,Common,Submerged,29,Hydrocharitaceae,Vallisneria,Vallisneria_natans,Freshwater,14.1,1401,Arable Land,Artificial,31.345,North_temper,114.518,0.24,8.650000572,0.266975308,24.45000076,156,89.57624817,1.499999985,15.8083334,4.416666508,206,22,98.41666667,40036150,14.16149914,Villages,clade20,0.294098071,229.1760832,130.9489193,538.1664429,31.10611153,18.05509877,1.149481058
P34_2,ISSR,Wang_et_al,2,Aquatic_Botany,2010,Eastern_Asia,2007,17,Common,Submerged,30,Hydrocharitaceae,Vallisneria,Vallisneria_natans,Freshwater,5.5,505,Wetlands (inland)-Permanent freshwater lakes (over 8 ha),Wetlands,30.202,North_temper,114.732,0.22,8.441666603,0.258946838,25.76666641,16,89.8090744,1.583333353,17.17916679,7.75,229,34,111.0833333,4748671.779,18.6812079,Croplands,clade20,33.64123053,32690.45227,663.3558353,651.0170898,40.46669388,18.04802887,1.065896153
P34_3,ISSR,Wang_et_al,3,Aquatic_Botany,2010,Eastern_Asia,2007,17,Common,Submerged,32,Hydrocharitaceae,Vallisneria,Vallisneria_natans,Freshwater,2.2,202,Savanna-Moist,Savanna,29.237,North_temper,115.892,0.28,7.399999619,0.234920635,21.76666641,12,89.8350296,1.582500016,17.52499962,8.449999809,251,40,121.5833333,36219223.92,2547.548737,Villages,clade20,0.08183063,85.07267404,3.908684562,729.3165894,24.53645325,16.95138478,0.921267927
P34_4,ISSR,Wang_et_al,4,Aquatic_Botany,2010,Eastern_Asia,2007,17,Common,Submerged,35,Hydrocharitaceae,Vallisneria,Vallisneria_natans,Freshwater,14.1,1401,Arable Land,Artificial,29.952,North_temper,116.023,0.24,7.574999809,0.237460804,21.78333282,9,89.4968338,1.533333307,17.40416718,8.183333397,224,40,115.1666667,4041600.639,21.32793371,Rangelands,clade20,36.81846318,19935.08572,8698.124044,541.2843018,29.89321709,18.13745304,0.855548084
P34_5,ISSR,Wang_et_al,5,Aquatic_Botany,2010,Eastern_Asia,2007,17,Common,Submerged,44,Hydrocharitaceae,Vallisneria,Vallisneria_natans,Freshwater,14.1,1401,Arable Land,Artificial,31.878,North_temper,117.202,0.23,8.283333778,0.254871788,27,27,89.16899872,1.520833323,16.07500076,4.483333588,176,29,91.91666667,9449361.216,0.324926277,Urban,clade20,0.719530769,327.9194107,2985.94165,698.8856201,42.22514343,15.84196146,1.289896727
P34_6,ISSR,Wang_et_al,6,Aquatic_Botany,2010,Eastern_Asia,2007,17,Common,Submerged,26,Hydrocharitaceae,Vallisneria,Vallisneria_natans,Freshwater,3.4,304,Forest-Temperate,Shrubland,31.115,North_temper,120.918,0.23,5.741667271,0.196632423,26.18333435,3,87.3815155,1.584166656,15.88749981,12.40000057,170,34,85,978259.0883,2.383793742,Croplands,clade0,530.3659614,277303.7136,50786.87042,747.3502808,44.34766006,17.19999369,1.340226531
P37_1,AFLP,Janiak_et_al,1,Flora,2014,Europe,2012,12,Rare,Sub_Floating,50,Marsileaceae,Marsilea,Marsilea_quadrifolia,Freshwater,14.1,1401,Arable Land,Artificial,50.937,North_temper,16.499,0.203,8.925000191,0.318750019,16.88333321,205,89.68183136,0.903333329,8.1875,0.449999988,87,23,46.25,27046.71582,2.548208634,Villages,clade20,23.67559091,9099.891317,619.1790009,572.9106445,10.64707851,10.38301515,1.85606575
P37_2,AFLP,Janiak_et_al,2,Flora,2014,Europe,2012,12,Rare,Sub_Floating,40,Marsileaceae,Marsilea,Marsilea_quadrifolia,Freshwater,14.3,1403,Plantations,Artificial,51.452,North_temper,21.952,0.213,8.133333206,0.281430225,17.85000038,121,89.86284637,0.913333334,8.25,-0.383333325,69,23,41.16666667,8353958.042,644.1350225,Urban,clade20,2.108335217,109.0289268,336.8847122,440.0648804,12.32832336,10.2178769,1.442312241
P37_3,AFLP,Janiak_et_al,3,Flora,2014,Europe,2012,12,Rare,Sub_Floating,24,Marsileaceae,Marsilea,Marsilea_quadrifolia,Freshwater,14.1,1401,Arable Land,Artificial,48.51,North_temper,21.976,0.156,9.616666794,0.311218987,17.75,103,89.82511139,0.955833333,9.483333588,0.933333278,79,34,53.08333333,1247197.193,33.15983359,Croplands,clade20,5.085546116,3388.275742,169.7427622,606.6072388,9.518712044,11.59007438,1.858328938
P37_4,AFLP,Janiak_et_al,4,Flora,2014,Europe,2012,12,Rare,Sub_Floating,24,Marsileaceae,Marsilea,Marsilea_quadrifolia,Freshwater,14.1,1401,Arable Land,Artificial,48.5,North_temper,21.965,0.356,9.658333778,0.312567425,17.81666756,97,89.88426208,0.955000001,9.537500381,0.966666698,79,34,52.83333333,3855.842003,0.365279063,Croplands,clade20,213.2243428,8242.552714,9323.796783,977.7000122,9.999878883,11.58084535,1.858328938
P37_5,AFLP,Janiak_et_al,5,Flora,2014,Europe,2012,12,Rare,Sub_Floating,22,Marsileaceae,Marsilea,Marsilea_quadrifolia,Freshwater,1.4,104,Forest-Temperate,Forest,47.615,North_temper,7.122,0.436,8.883333206,0.341666679,15.98333359,340,89.61217499,0.979999994,9.608333588,5.433333397,84,55,70.5,6767.174324,1.12776644,Croplands,clade20,20.15980575,2548.607922,805.3093974,609.8739014,12.53941727,11.04430564,1.838891625
P37_6,AFLP,Janiak_et_al,6,Flora,2014,Europe,2012,12,Rare,Sub_Floating,20,Marsileaceae,Marsilea,Marsilea_quadrifolia,Freshwater,1.4,104,Forest-Temperate,Forest,48.392,North_temper,7.862,0.18,8.599999428,0.337254906,16.85000038,150,89.42742157,1.023333331,10.34166622,3.666666746,100,54,73,9141.057414,0.500445115,Urban,clade20,6.792327166,4903.542775,502.6174138,605.9573975,11.46780396,11.59978406,2.691139936
P41_1,RAPD,Chen_et_al,1,Aquatic_Botany,2006,Eastern_Asia,2004,20,Rare,Emergent,46,Alismataceae,Caldesia,Caldesia_grandis,Freshwater,14.3,1403,Plantations,Artificial,24.867,North_temper,112.722,0.1096,7.416666985,0.286357784,18.76666641,1104,89.86825562,1.549999997,15.08333397,8.100000381,287,42,140.5,16522.18864,3.579631885,Woodlands,clade20,0.124098752,150.2228165,79.88262494,514.3821411,14.38713932,15.95101098,0.612814128
P41_2,RAPD,Chen_et_al,2,Aquatic_Botany,2006,Eastern_Asia,2004,20,Rare,Emergent,46,Alismataceae,Caldesia,Caldesia_grandis,Freshwater,2.2,202,Savanna-Moist,Savanna,25.053,North_temper,113.003,0.1244,7.808333397,0.287071095,20.86666679,698,89.63008881,1.686666697,16.97083282,9.550000191,258,42,127.1666667,10793.74641,2.201726201,Woodlands,clade20,47.53234175,60469.72313,417.1559124,533.0095825,16.26960564,17.05722996,0.734179735
P41_3,RAPD,Chen_et_al,3,Aquatic_Botany,2006,Eastern_Asia,2004,20,Rare,Emergent,38,Alismataceae,Caldesia,Caldesia_grandis,Freshwater,1.9,109,Forest-Subtropical/tropical moist montane,Forest,25.125,North_temper,98.63,0.1178,10.65833282,0.47370369,20.01666641,1873,89.88295746,1.342500001,15.32916641,9.183333397,254,16,112.4166667,382459.2149,98.89452282,Woodlands,clade40,7.162293245,5637.54067,137.4178282,578.9706421,13.30144119,12.90587548,0.734814227
P45_1,AFLP,Makuch_et_al,1,Frontiers_in_Plant_Science,2023,Europe,2020,4,Rare,Submerged,17,Alismataceae,Luronium,Luronium_natans,Freshwater,14.1,1401,Arable Land,Artificial,50.833,North_temper,14.155,0.243,6.966666698,0.276455021,16.35000038,405,89.46250916,0.868333332,7.883333206,3.316666603,93,38,61.91666667,1632.785529,0.253680237,Woodlands,clade20,54.68454818,58216.59931,3161.173991,547.5496216,12.32082653,10.26647612,1.564078569
P45_2,AFLP,Makuch_et_al,2,Frontiers_in_Plant_Science,2023,Europe,2020,4,Rare,Submerged,9,Alismataceae,Luronium,Luronium_natans,Freshwater,14.1,1401,Arable Land,Artificial,50.832,North_temper,14.202,0.234,7.025000095,0.27766798,16.5,400,89.80142212,0.875833325,7.995833397,3.433333397,94,36,62,6315780.667,565.9764506,Urban,clade20,0.636045751,77.10477225,253.4310392,547.5496216,12.32082653,12.57050499,1.456859231
P45_3,AFLP,Makuch_et_al,3,Frontiers_in_Plant_Science,2023,Europe,2020,4,Rare,Submerged,21,Alismataceae,Luronium,Luronium_natans,Freshwater,14.3,1403,Plantations,Artificial,51.404,North_temper,14.908,0.24,7.708333492,0.298772602,17.31666565,152,89.74549866,0.921666667,8.820833206,4.25,85,38,54.08333333,452.9330571,0.179042194,Croplands,clade20,392.6008533,411584.6367,2257.945847,548.6988525,11.84513855,11.30604725,1.378463745
P45_4,AFLP,Makuch_et_al,4,Frontiers_in_Plant_Science,2023,Europe,2020,4,Rare,Submerged,41,Alismataceae,Luronium,Luronium_natans,Freshwater,14.1,1401,Arable Land,Artificial,51.342,North_temper,13.67,0.268,8.083333015,0.306186867,17.70000076,156,89.83063507,0.926666672,9.125,4.400000095,75,35,51.75,2864.786549,0.404314244,Croplands,clade20,237.0201057,191122.6309,4930.660184,581.8796997,11.16709995,11.62554341,2.785889387
P45_5,AFLP,Makuch_et_al,5,Frontiers_in_Plant_Science,2023,Europe,2020,4,Rare,Submerged,13,Alismataceae,Luronium,Luronium_natans,Freshwater,14.3,1403,Plantations,Artificial,51.345,North_temper,13.724,0.256,8.016666412,0.305979633,17.64999962,163,89.69989777,0.925833334,9.100000381,4.400000095,77,36,52.5,2864.786549,0.404314244,Croplands,clade20,237.0201057,191122.6309,4930.660184,581.8796997,11.1943903,11.62554341,2.743095398
P45_6,AFLP,Makuch_et_al,6,Frontiers_in_Plant_Science,2023,Europe,2020,4,Rare,Submerged,31,Alismataceae,Luronium,Luronium_natans,Freshwater,14.5,1405,Urban Areas,Artificial,51.338,North_temper,13.746,0.256,8,0.306513405,17.63333321,162,88.92510986,0.929166667,9.108333588,4.416666508,78,36,52.41666667,2864.786549,0.404314244,Croplands,clade20,237.0201057,191122.6309,4930.660184,581.8796997,11.1943903,11.62554341,2.728830814
P46_1,ISSR,Valsava_et_al,1,Russian_Journal_of_Genetics,2021,Europe,2011,13,Rare,Emergent,27,Isoetaceae,Isoetes,Isoetes_lacustris,Freshwater,14.3,1403,Plantations,Artificial,55.76,North_temper,29.204,0.243,7.966666698,0.244376278,15.86666679,160,89.48612976,0.772500001,5.066666603,-1.116666794,86,36,55.66666667,536017.7448,12.57869816,Woodlands,clade20,0.472454796,64.44984833,180.202301,507.9321594,7.705089569,7.227263536,0.300317973
P46_2,ISSR,Valsava_et_al,2,Russian_Journal_of_Genetics,2021,Europe,2011,13,Rare,Emergent,27,Isoetaceae,Isoetes,Isoetes_lacustris,Freshwater,1.4,104,Forest-Temperate,Forest,55.692,North_temper,29.651,0.219,7.875,0.248422718,16,147,89.80865479,0.776666664,5.212500095,-0.816666722,84,33,54.16666667,5416.202576,0.160362326,Woodlands,clade20,0.236662975,15.64418752,178.7176928,505.0234985,7.562339306,8.167591488,0.371116251
P46_3,ISSR,Valsava_et_al,3,Russian_Journal_of_Genetics,2021,Europe,2011,13,Rare,Emergent,7,Isoetaceae,Isoetes,Isoetes_lacustris,Freshwater,14.1,1401,Arable Land,Artificial,54.429,North_temper,25.917,0.112,7.608333111,0.260559368,15.8166666,202,89.35089111,0.793333334,5.704166889,-3.633333206,80,32,53.16666667,109514.3584,2.58035031,Villages,clade20,6.110053162,1771.106873,412.7444,463.8507385,8.441279411,7.512417215,0.554762602
P46_4,ISSR,Valsava_et_al,4,Russian_Journal_of_Genetics,2021,Europe,2011,13,Rare,Emergent,4,Isoetaceae,Isoetes,Isoetes_lacustris,Freshwater,14.1,1401,Arable Land,Artificial,52.296,North_temper,26.299,0.063,7.791666508,0.262345676,17.20000076,133,89.89846802,0.834999989,7.004166603,-2.450000048,79,28,48.33333333,42081.16449,0.542312889,Croplands,clade20,13.6007538,10741.33646,272.0414276,884.3687744,8.318461418,9.312188891,0.634810388
P49_1,AFLP,Li_et_al,1,Aquatic_Botany,2023,Eastern_Asia,2019,5,Common,Sub_Floating,8,Lythraceae,Trapa,Trapa_bispinosa,Freshwater,5.7,507,Wetlands (inland)-Permanent freshwater marshes/pools (under 8 ha),Wetlands,30.135,North_temper,114.385,0.232,8.066666603,0.250517597,25.73333359,16,89.80865479,1.590833351,17.20000076,7.866666794,223,33,109.5,5090470.745,27.48452119,Villages,clade20,3.024832734,2341.350079,419.9985221,787.9829102,43.69497681,16.56043423,1.084068537
P49_2,AFLP,Li_et_al,2,Aquatic_Botany,2023,Eastern_Asia,2019,5,Common,Sub_Floating,8,Lythraceae,Trapa,Trapa_bispinosa,Freshwater,5.7,507,Wetlands (inland)-Permanent freshwater marshes/pools (under 8 ha),Wetlands,30.193,North_temper,114.383,0.25,7.633333206,0.240041924,25.64999962,18,89.83509064,1.590833351,17.125,7.800000191,219,34,108.75,5107644.01,27.48452119,Villages,clade20,1.710953642,1302.207684,257.4141299,787.9829102,41.27383804,17.0012937,1.103249669
P49_3,AFLP,Li_et_al,3,Aquatic_Botany,2023,Eastern_Asia,2019,5,Common,Sub_Floating,8,Lythraceae,Trapa,Trapa_bispinosa,Freshwater,5.1,501,Wetlands (inland)-Permanent rivers/streams/creeks (includes waterfalls),Wetlands,30.106,North_temper,114.469,0.248,8.358333588,0.257179489,25.73333359,18,89.77970123,1.587500021,17.17083359,7.766666412,226,36,110.8333333,4708359.628,27.48452119,Villages,clade20,19.3495156,13887.01171,2784.207374,787.9829102,44.64921951,17.35588507,1.0603441
P49_4,AFLP,Li_et_al,4,Aquatic_Botany,2023,Eastern_Asia,2019,5,Common,Sub_Floating,8,Lythraceae,Trapa,Trapa_bispinosa,Freshwater,5.1,501,Wetlands (inland)-Permanent rivers/streams/creeks (includes waterfalls),Wetlands,30.189,North_temper,114.466,0.154,7.758333206,0.241692638,25.53333282,16,89.81754303,1.589166686,16.98749924,7.633333206,219,31,107.6666667,5107644.01,27.48452119,Croplands,clade20,1.710953642,1302.207684,255.4640535,787.9829102,41.48425674,17.94995042,1.094500303
P49_5,AFLP,Li_et_al,5,Aquatic_Botany,2023,Eastern_Asia,2019,5,Common,Sub_Floating,7,Lythraceae,Trapa,Trapa_bispinosa,Freshwater,14.1,1401,Arable Land,Artificial,30.258,North_temper,114.586,0.15,7.058333397,0.224074078,25.53333282,16,89.49953461,1.586666683,16.96249962,7.633333206,221,31,108.0833333,5099596.438,27.48452119,Villages,clade20,2.157452155,1673.106274,327.2775326,651.0170898,41.48425674,17.35598175,1.099593997
P49_6,AFLP,Li_et_al,6,Aquatic_Botany,2023,Eastern_Asia,2019,5,Common,Sub_Floating,5,Lythraceae,Trapa,Trapa_bispinosa,Freshwater,14.1,1401,Arable Land,Artificial,30.274,North_temper,114.596,0.288,7.275000095,0.229495277,25.56666565,17,89.69539642,1.585833351,16.97083282,7.616666794,219,31,107.9166667,5099596.438,27.48452119,Villages,clade20,2.157452155,1673.106274,327.2775326,651.0170898,43.46588135,17.35598175,1.095968843
P49_7,AFLP,Li_et_al,7,Aquatic_Botany,2023,Eastern_Asia,2019,5,Common,Sub_Floating,10,Lythraceae,Trapa,Trapa_bispinosa,Freshwater,14.5,1405,Urban Areas,Artificial,30.235,North_temper,114.628,0.196,7.650000095,0.2390625,25.61666679,16,89.81707001,1.585000018,17.02499962,7.616666794,225,32,109.6666667,4899400.716,27.48452119,Croplands,clade20,24.21501973,17774.08647,3393.951565,651.0170898,42.81534958,17.96446665,1.085414052
P49_8,AFLP,Li_et_al,8,Aquatic_Botany,2023,Eastern_Asia,2019,5,Common,Sub_Floating,6,Lythraceae,Trapa,Trapa_bispinosa,Freshwater,14.1,1401,Arable Land,Artificial,30.277,North_temper,114.556,0.15,6.950000286,0.222044735,25.51666641,17,89.83339691,1.587500016,16.97500038,7.716666698,219,30,107.6666667,5103312.536,27.48452119,Croplands,clade20,1.710953662,1302.207673,265.9405721,651.0170898,43.46588135,18.05169098,1.100343466
P49_9,AFLP,Li_et_al,9,Aquatic_Botany,2023,Eastern_Asia,2019,5,Common,Sub_Floating,7,Lythraceae,Trapa,Trapa_bispinosa,Freshwater,14.1,1401,Arable Land,Artificial,30.168,North_temper,114.608,0.161,7.424999714,0.234227123,25.64999962,16,89.89887238,1.584166686,17.10416603,7.75,224,32,109.3333333,4899400.716,27.48452119,Croplands,clade20,24.21501973,17774.08647,3393.951565,651.0170898,41.48425674,17.96446665,1.068420172
P49_10,AFLP,Li_et_al,10,Aquatic_Botany,2023,Eastern_Asia,2019,5,Common,Sub_Floating,8,Lythraceae,Trapa,Trapa_bispinosa,Freshwater,14.1,1401,Arable Land,Artificial,30.125,North_temper,114.608,0.2,8.366666794,0.257435894,25.73333359,24,89.74371338,1.580000003,17.17499924,7.766666412,226,34,110.4166667,4837876.298,27.48452119,Villages,clade20,24.67020604,17732.15355,3541.541063,651.0170898,44.96705246,17.50115641,1.04923892
P49_11,AFLP,Li_et_al,11,Aquatic_Botany,2023,Eastern_Asia,2019,5,Common,Sub_Floating,7,Lythraceae,Trapa,Trapa_bispinosa,Freshwater,14.1,1401,Arable Land,Artificial,30.15,North_temper,114.563,0.189,8.041666985,0.249741192,25.75,17,89.85824585,1.584166686,17.17916679,7.783333302,227,34,110.3333333,4930083.951,27.48452119,Villages,clade20,9.310042093,6799.017479,1319.528796,651.0170898,41.48425674,16.53647797,1.068588495
P49_12,AFLP,Li_et_al,12,Aquatic_Botany,2023,Eastern_Asia,2019,5,Common,Sub_Floating,9,Lythraceae,Trapa,Trapa_bispinosa,Freshwater,14.1,1401,Arable Land,Artificial,30.206,North_temper,114.567,0.18,7.233333111,0.228902969,25.66666603,16,89.84296417,1.585833351,17.14166641,7.833333015,223,32,109,5090997.417,27.48452119,Croplands,clade20,3.350810278,2545.987113,487.3311001,651.0170898,41.48425674,17.94599334,1.087769747
P49_13,AFLP,Li_et_al,13,Aquatic_Botany,2023,Eastern_Asia,2019,5,Common,Sub_Floating,9,Lythraceae,Trapa,Trapa_bispinosa,Freshwater,14.1,1401,Arable Land,Artificial,30.253,North_temper,114.398,0.194,8.008333206,0.248705998,25.63333321,26,88.38989258,1.587500016,17.09583282,7.75,218,33,108.5,4476484.161,27.48452119,Villages,clade20,23.3509713,17029.23345,3350.146865,787.9829102,41.27383804,13.43236973,1.123654962
P49_14,AFLP,Li_et_al,14,Aquatic_Botany,2023,Eastern_Asia,2019,5,Common,Sub_Floating,9,Lythraceae,Trapa,Trapa_bispinosa,Freshwater,14.1,1401,Arable Land,Artificial,30.313,North_temper,114.588,0.198,7.5,0.23510973,25.56666565,16,88.69007874,1.587500016,16.95833397,7.583333015,220,31,107.9166667,5099596.438,27.48452119,Villages,clade20,2.157452155,1673.106274,327.2775326,651.0170898,43.46588135,17.35598175,1.095280647
P49_15,AFLP,Li_et_al,15,Aquatic_Botany,2023,Eastern_Asia,2019,5,Common,Sub_Floating,6,Lythraceae,Trapa,Trapa_bispinosa,Freshwater,14.1,1401,Arable Land,Artificial,30.278,North_temper,114.507,0.133,7.466666222,0.235541534,25.60000038,18,89.43218231,1.588333349,17.06666565,7.766666412,220,32,108.1666667,5103312.536,27.48452119,Croplands,clade20,1.710953662,1302.207673,265.9405721,651.0170898,43.46588135,18.05169098,1.10690558
P49_16,AFLP,Li_et_al,16,Aquatic_Botany,2023,Eastern_Asia,2019,5,Common,Sub_Floating,6,Lythraceae,Trapa,Trapa_bispinosa,Freshwater,14.1,1401,Arable Land,Artificial,30.275,North_temper,114.465,0.131,7.691666126,0.241118069,25.61666679,23,88.79227448,1.586666684,17.08749962,7.766666889,219,31,107.9166667,5004067.339,27.48452119,Villages,clade20,5.301570387,4105.811092,740.7382476,787.9829102,43.43119431,17.60305711,1.113467813
P49_17,AFLP,Li_et_al,17,Aquatic_Botany,2023,Eastern_Asia,2019,5,Common,Sub_Floating,6,Lythraceae,Trapa,Trapa_bispinosa,Freshwater,14.1,1401,Arable Land,Artificial,30.228,North_temper,114.467,0.179,7.541666508,0.236415882,25.53333282,17,89.7299881,1.588333349,16.99583244,7.666666508,220,31,107.4166667,5107644.01,27.48452119,Croplands,clade20,1.710953642,1302.207684,255.4640535,787.9829102,41.48425674,17.94995042,1.107287765
P49_18,AFLP,Li_et_al,18,Aquatic_Botany,2023,Eastern_Asia,2019,5,Common,Sub_Floating,7,Lythraceae,Trapa,Trapa_bispinosa,Freshwater,14.1,1401,Arable Land,Artificial,30.252,North_temper,114.437,0.26,7.716666222,0.241901779,25.66666603,18,89.2813797,1.589166681,17.11666679,7.800000191,220,31,107.75,5004067.339,27.48452119,Villages,clade20,5.301570387,4105.811092,740.7382476,787.9829102,41.27383804,17.60305711,1.115868926
P49_19,AFLP,Li_et_al,19,Aquatic_Botany,2023,Eastern_Asia,2019,5,Common,Sub_Floating,7,Lythraceae,Trapa,Trapa_bispinosa,Freshwater,14.1,1401,Arable Land,Artificial,30.263,North_temper,114.42,0.185,7.974999905,0.248442364,25.68333435,17,89.27978516,1.589166681,17.12916756,7.783333302,219,32,107.5833333,5004067.339,27.48452119,Villages,clade20,5.301570387,4105.811092,740.7382476,787.9829102,41.27383804,17.60305711,1.119280338
P49_20,AFLP,Li_et_al,20,Aquatic_Botany,2023,Eastern_Asia,2019,5,Common,Sub_Floating,7,Lythraceae,Trapa,Trapa_bispinosa,Freshwater,5.1,501,Wetlands (inland)-Permanent rivers/streams/creeks (includes waterfalls),Wetlands,30.211,North_temper,114.436,0.263,7.300000191,0.23101265,25.51666641,21,89.83511353,1.587500016,16.99166679,7.733333111,219,31,108,5107644.01,27.48452119,Croplands,clade20,1.710953642,1302.207684,255.4640535,787.9829102,41.27383804,17.94995042,1.103081346
